ID	label
Pdf_Chunk_id0: DisclaimerThis is a PDF version of the Unilever Annual Report and Accounts 2019 and is an exact copy of the printed document provided to Unilever’s shareholders.Certain sections of the Unilever Annual Report and Accounts 2019 have been audited. These are on pages 87 to 152, and those parts noted as audited within the Directors’ Remuneration Report on pages 66 to 72.The maintenance and integrity of the Unilever website is the responsibility of the Directors; the work carried out by the auditors does not involve consideration of these matters. Accordingly, the auditors accept no responsibility for any changes that may have occurred to the financial statements since they were initially placed on the website.Legislation in the United Kingdom and the Netherlands governing the preparation and dissemination of financial statements may differ from legislation in other jurisdictions.	PDF
Pdf_Chunk_id1: Except where you are a shareholder, this material is provided for information purposes only and is not, in particular, intended to confer any legal rights on you.This Annual Report and Accounts does not constitute an invitation to invest in Unilever shares. Any decisions you make in reliance on this information are solely your responsibility.The information is given as of the dates specified, is not updated, and any forward-looking statements are made subject to the reservations specified in the cautionary statement on the inside back cover of this PDF.Unilever accepts no responsibility for any information on other websites that may be accessed from this site by hyperlinks.UnileverUnileverAnnualReportandAccounts2019Purpose-led, future-fitUnilever Annual Report and Accounts 2019	PDF
Pdf_Chunk_id2: ccounts2019Purpose-led, future-fitUnilever Annual Report and Accounts 2019Unilever Annual Report and Accounts 2019 This document is made up of the Strategic Report, the Governance Report, the Financial Statements and Notes, and Additional Information for US Listing Purposes.In this reportStrategic Report How our strategy is delivering value for our stakeholdersAt a glance2The Unilever Group consists of Unilever N.V. (NV) and Unilever PLC (PLC) together with the companies they control. The terms “Unilever”, the “Group”, “we”, “our” and “us” refer to the Unilever Group.Chairman's introduction4Our Board of Directors5	PDF
Pdf_Chunk_id3: Chairman's introduction4Our Board of Directors5Our Strategic Report, pages 1 to 46, contains information about us, how we create value and how we run our business. It includes our strategy, business model, market outlook and key performance indicators, as well as our approach to sustainability and risk. The Strategic Report is only part of the Annual Report and Accounts 2019. The Strategic Report has been approved by the Boards and signed on their behalf by Ritva Sotamaa – Group Secretary.Chief Executive Officer's Q&A6Unilever Leadership Executive7Our strategyOur fast-changing world8Our strategy9Our value creation model10Our Governance Report, pages 47 to 77 contains detailed corporate governance information, our Committee reports and how we remunerate our Directors.Our stakeholdersStakeholder review:12Our Financial Statements and Notes are on pages 78 to 142.– Consumers14	PDF
Pdf_Chunk_id4: 12Our Financial Statements and Notes are on pages 78 to 142.– Consumers14Pages 1 to 162 constitute the Unilever Annual Report and Accounts 2019 for UK and Dutch purposes, which we may also refer to as ‘this Annual Report and Accounts’ throughout this document.– Our People16– Society18The Directors’ Report of PLC on pages 47 to 59, 78 (Statement of Directors’ responsibilities), 108 (Dividends on ordinary capital), 121 to 127 (Treasury Risk Management), 148 and 152 (Post balance sheet events) and 160 (Branch disclosure) has been approved by the PLC Board and signed on its behalf by Ritva Sotamaa – Group Secretary.– Planet19– Customers20– Shareholders21Our performance22The Strategic Report, together with the Governance Report, constitutes the report of the Directors within the meaning of Article 2:391 of the Dutch Civil Code and has been approved by the NV Board and signed on its behalf by Ritva Sotamaa – Group Secretary.Financial review24	PDF
Pdf_Chunk_id5: Financial review24Our risks33Non-financial information statement46Pages 163 to 178 are included as Additional Information for US Listing Purposes.Governance Report How we’re running a responsible and effective businessOnline You can find more information about Unilever online atCorporate Governance47Report of the Audit Committee54Report of the Corporate Responsibility Committee56www.unilever.comReport of the Nominating and Corporate Governance Committee58For further information on our sustainability activities and performance visitDirectors’ Remuneration report60www.unilever.com/sustainable-livingFinancial Statements Our full financial results and notes for the yearThe Unilever Annual Report and Accounts 2019 (and the Additional Information for US Listing Purposes) along with other relevant documents can be downloaded atStatement of directors’ responsibilities78Independent auditors’ reports79www.unilever.com/ara2019/downloads	PDF
Pdf_Chunk_id6: 78Independent auditors’ reports79www.unilever.com/ara2019/downloadsFinancial statements87Notes to the consolidated financial statements91Unilever N.V. company accounts and notes143Unilever PLC company accounts and notes148Group companies153161Shareholder informationIndex162Additional information for US listing purposes163Purpose-driven performanceOne in three people around the world use our brands every day. With this reach comes responsibility – and opportunity. That’s why we've made it our purpose to make sustainable living commonplace. To help people live well within the limits of the planet. This isn’t just something we say – it steers our decisions and shapes our actions, at every level of the business.	PDF
Pdf_Chunk_id7: Our focus on purpose goes back to the days of one of our founders, William Lever, well over 100 years ago. It’s part of Unilever history, and it’s integral to our future. This is why we want all our brands to take a stand, and act, on the big social and environmental issues facing the world. We believe we’ll be a better and more successful business by following this path.To truly make sustainable living commonplace, we have to be fit for the future. This means anticipating the significant changes which are shaping our industry. Becoming fully digitised, lower cost, faster acting and more agile. Using our scale and influence to create positive change well beyond Unilever. Expanding into high-growth markets with superior products that are good for both people and the planet. And continuing to attract the very best people into a diverse, inclusive and flexible working culture.Purpose-led, future-fitUnilever Annual Report and Accounts 2019At a glance	PDF
Pdf_Chunk_id8: Purpose-led, future-fitUnilever Annual Report and Accounts 2019At a glanceAs one of the world’s largest and oldest consumer goods businesses, we’re on a mission to make sustainable living commonplace.A truly global businessStrong brands with purposeOur brands are available in over 190 countries.Our 400+ household brands help people feel good, look good and get more out of life.122.5A growing portfoliobrandsbillionof brands with purposepeople use our products every daywith turnover of more than €1 billion in the year2584%13 of the top 5060%millionof brands in top 1 or 2 market positionsFMCG brands*retail salesoutlets in our distribution chainof turnover in emerging marketsRead more about our brands and consumers on pages 14 to 15.Using our scale for goodPowered by our peopleWe have ambitious time-bound sustainability goals which are delivering significant impact.	PDF
Pdf_Chunk_id9: We have ambitious time-bound sustainability goals which are delivering significant impact.Our purposeful and inclusive culture attracts and keeps the very best.51/491501.362%gender balance in management (female/male)**thousandbillionemployeespeople helped to improve their health and hygiene since 2010of agricultural raw materials sustainably sourced90%Number 1100%FMCG graduate employer of choice in 52 marketsof our leaders are localrenewable grid electricity in 5 continentsRead more about our people on pages 16 to 17.Based on market penetration and consumer interactions (Kantar Brand Footprint report).Read more about society and the planet on pages 18 to 19.** Based on a total management population of 15,028 Unilever employees.2Strategic ReportUnilever Annual Report and Accounts 2019Financial highlights€52.0 billionWhat we stand for: Making sustainable living commonplace.turnover	PDF
Pdf_Chunk_id10: €52.0 billionWhat we stand for: Making sustainable living commonplace.turnoverWhat we offer: Beauty & Personal Care, Foods & Refreshment, Home Care€6.1 billionfree cash flow*€4.2 billionRead more about our brands and consumers on pages 14 to 15.dividends paid19.1%underlying operating margin*16.8%operating marginBeauty & Personal Care What we stand for: Beauty that cares for people, society and our planet.€21.9 billion turnoverOur largest categories: Deodorants, Haircare, Skin care, Skin cleansing42% of total turnoverA selection of our brands: Axe, Clear, Dove, Lifebuoy, Lux, Pond's, Rexona, Signal, Suave, Sunsilk, TRESemmé, Vaseline52% of total operating profitFoods & Refreshment What we stand for: Taste good. Feel good. Force for good.€19.3 billion turnoverOur largest categories: Ice cream, Savoury, Dressings, Tea37% of total turnover	PDF
Pdf_Chunk_id11: Our largest categories: Ice cream, Savoury, Dressings, Tea37% of total turnoverA selection of our brands: Ben & Jerry’s, Breyers, Brooke Bond, Heart (Wall’s), Hellmann’s, Knorr, Lipton, Magnum, Pukka, Sir Kensington’s, Unilever Food Solutions32% of total operating profitHome Care What we stand for: Making your home a better world. Making our world a better home.€10.8 billion turnover21% of total turnoverOur largest categories: Fabric solutions, Home and hygieneA selection of our brands: Cif, Dirt is Good (Omo, Persil), Domestos, Seventh Generation, Sunlight16% of total operating profitRead more about our Divisions on pages 14 to 15.Free cash flow and underlying operating margin are non-GAAP measures. For further information about these measures, and the reasons why we believe they areimportant for an understanding of the performance of the business, please refer to our commentary on non-GAAP measures on page 27.3Unilever Annual Report and Accounts 2019	PDF
Pdf_Chunk_id12: 3Unilever Annual Report and Accounts 2019Chairman's introductionOur new Chairman reflects on a year of positive value creation, changes to the Board and the steps being taken to accelerate growth in 2020 and beyond.EvaluationSadly, on 31 August 2019, Mary Ma, one of our Non-Executive Directors, passed away after a short illness. Mary was a highly committed and capable Director who put her expertise and experience at the service of Unilever and is greatly missed.Our Board evaluation in 2019 was externally facilitated and the results were discussed at the January 2020 Board meeting. The Board continues to operate in an effective manner overall, and reflecting on the lessons learnt by the Board in the previous year the Board agreed, in particular, in the evaluation discussions to maintain strong focus on organic growth, portfolio evolution, leadership talent, and organisation.Remuneration	PDF
Pdf_Chunk_id13: RemunerationDuring 2019 we continued to consult with shareholders on our Remuneration Policy, particularly for the Executive Directors, and set in motion the consultation process for implementing our Remuneration Policy in 2020.Each Board Committee also performed its own self-evaluation, agreeing areas where it could enhance its effectiveness further. These are described within each Committee Report.Nils Andersen ChairmanWith the aim of maintaining the high levels of support from shareholders at the 2019 AGMs for the implementation of our Remuneration Policy, we continued constructive engagement with both our investors and proxy voting agencies on how we intend to evolve the implementation of our Directors’ Remuneration Policy.	PDF
Pdf_Chunk_id14: Having served on the Board for five years, I am already well aware of Unilever’s reputation as a purpose-driven company, one founded on strong values, wonderful brands and a talented and committed workforce. It was an honour therefore to have been asked to become your Chairman in November 2019 and since then I have continued to work with the Board and the Unilever Leadership team to support the Group's ambitions. On behalf of the Board, I would like to thank my predecessor, Marijn Dekkers, for his strong leadership as Chairman and for his support in helping to ensure a seamless transition.Looking ahead	PDF
Pdf_Chunk_id15: Looking aheadThe Board fully supports the strategy Unilever is following, including the strategic review of the tea business, and is confident that everything possible is being done to help accelerate top- line growth in 2020. The Board’s confidence also derives from the high calibre of Unilever’s management. We look forward to working with Alan Jope and his team in helping to ensure Unilever remains a long-term, sustainable growth company.Corporate GovernanceRecent revisions of Corporate Governance Codes applicable to Unilever expanded on the long- standing requirements for directors to remain mindful of the duties they have to consider the many stakeholders who have an interest in our business.	PDF
Pdf_Chunk_id16: During its various visits last year to Unilever’s operations, including in Brazil and the United States, the Board was able to witness first-hand the passion and commitment of Unilever’s hard-working employees. On behalf of the Board, I want to thank all of the 150,000 employees of Unilever for their efforts in 2019, and also acknowledge our appreciation for the continuing support of the Group’s shareholders.	PDF
Pdf_Chunk_id17: A particular stakeholder focus for the Board during the year was our workforce. As a result, NEDs conducted a number of workforce engagement events to assess employee sentiment. Four face-to-face events were held in Brazil and the UK, allowing for open discussions on issues important to our people. The Board believes that an open, authentic and agile culture at all levels of Unilever fuels personal and business growth. The Board will therefore continuously monitor the culture within the organisation, whether during Board visits, through workforce engagements or by continuing to engage regularly with the Unilever Leadership Executive and other Unilever managers. Further information on our engagement with Unilever’s employees can be found on page 48.2019 PerformanceUnilever delivered another year of positive value creation in 2019, driven by a continuing balance of underlying sales growth, improved profitability and strong cash generation.	PDF
Pdf_Chunk_id18: Underlying sales growth fell slightly short of the company’s targeted range of 3-5%, which while disappointing, could be explained in part by a significant slowdown in some of Unilever’s high-growth markets. Some of these economic headwinds will continue throughout 2020, but clear plans are in place – which the Board has reviewed – to accelerate the rate of Unilever’s growth in 2020 and beyond.Board composition and successionIn 2019, we took further steps in our commitment to be at the forefront of good governance by cancelling the NV preference shares. We also initiated the termination of the depositary receipt structure for the NV ordinary shares which took effect on 28 June 2019.	PDF
Pdf_Chunk_id19: The Board appointed Alan Jope to the role of CEO on 1 January 2019 and Alan was duly elected as an Executive Director at the 2019 AGMs. The Board fully endorses the strategy Alan has set out to ensure that Unilever is purpose-led and future-fit, a strategy that at its heart believes sustainable business drives superior performance, creating long-term value for our stakeholders.I was delighted that you also elected Susan Kilsby as a Non-Executive Director at the 2019 AGMs in May, with her appointment taking effect on 1 August 2019. Susan has extensive Board experience as a non-executive in global consumer goods, financial and pharmaceutical sectors, and possesses deep international banking, financial and M&A experience.4Strategic ReportUnilever Annual Report and Accounts 2019Our Board of DirectorsOur Non-Executive Directors bring diverse experience to the Board's strategic discussions and decision-making.Youngme Moon Vice-Chair and Senior Independent Director	PDF
Pdf_Chunk_id20: Youngme Moon Vice-Chair and Senior Independent DirectorLaura Cha Non-Executive DirectorVittorio Colao Non-Executive DirectorMarijn Dekkers Non-Executive DirectorJudith Hartmann Non-Executive DirectorAndrea Jung Non-Executive DirectorSusan Kilsby Non-Executive DirectorStrive Masiyiwa Non-Executive DirectorJohn Rishton Non-Executive DirectorOur fellow Board member Mary Ma passed away unexpectedly on 31 August 2019. Mary joined Unilever in 2013 and served as a Non-Executive Director. She contributed strongly to the Board, serving as a member of the Audit Committee and more recently, the Compensation Committee. We will remember Mary as a wonderful friend and will miss her warmth of character and kindness of spirit. She was a highly capable and committed Director who put her expertise and distinguished experience at the service of Unilever for many years.Feike Sijbesma Non-Executive DirectorMary Ma 1952 – 20195Unilever Annual Report and Accounts 2019	PDF
